Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Oxford thương yêu,Dương Thụy,"",8934974153177,paperback,to-read,2025/05/24,"","",0,"",,,,,,,,,"",,to-be-read,No
Hello Stranger,Katherine Center,"",9781250283788,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Lolita,Vladimir Nabokov,Aris Fioretos (Translator),9789176455784,hardcover,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Home Is Where the Bodies Are,Jeneva Rose,"",9798212182843,hardcover,to-read,2025/06/13,"","",0,"",,,,,,,,,"",,"",No
The Goldfinch,Donna Tartt,"",9780316055437,hardcover,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Where the Crawdads Sing,Delia Owens,"",9780735219113,digital,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
If He Had Been with Me,Laura Nowlin,"",9781402277825,paperback,to-read,2025/06/08,"","",0,"",,,,,,,,,"",,to-be-read,No
A Portrait of the Artist as a Young Man,James Joyce,"",9780142437346,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Death of Ivan Ilych,Leo Tolstoy,"","",digital,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Crime and Punishment,Fyodor Dostoevsky,David Magarshack (Translator),"",paperback,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
As Good As Dead,Holly Jackson,"",9780593379851,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
On the Come Up,Angie Thomas,Bahni Turpin (Narrator),9780062840684,audio,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Antigone,Sophocles,J.E. Thomas,9781580493888,paperback,read,2025/02/23,2025/09/17,2025/09/03-2025/09/17,2,"",,,,,,,4.0,,"",,"",No
Part of Your World,Abby Jimenez,"",9781538704370,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Dear Justyce,Nic Stone,"",9781984829665,hardcover,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
"The Constitution of the United States of America: The Declaration of Independence, The Bill of Rights",Founding Fathers,"",9781774260135,paperback,to-read,2025/02/16,"","",0,"",,,,,,,,,"",,to-be-read,Yes
Girl in Pieces,Kathleen Glasgow,"",9781101934715,hardcover,read,2026/01/26,2026/02/02,2026/01/25-2026/02/02,1,"",,"","","","","",4.75,"<div>As a person who had the tendency to passive suicide, this book made me feel there’s hope once you escape the environment you are in.</div>","","","",No
Dracula,Bram Stoker,"Nina Auerbach (Contributor), David J. Skal (Contributor)",9780393970128,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Just Mercy,Bryan Stevenson,"","",audio,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,No
Dead Souls,Nikolai Gogol,Robert A. Maguire (Translator),9780140448078,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
The Adventures of Tom Sawyer,Mark Twain,"",9780143039563,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Persuasion,Jane Austen,"James Kinsley, Deidre Shauna Lynch (Contributor)",9780192802637,paperback,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
The Perks of Being a Wallflower,Stephen Chbosky,Noah Galvin (Narrator),9781508251552,audio,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Long Way Down,Jason Reynolds,"",9781481438254,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Complete Sherlock Holmes,Arthur Conan Doyle,"",9781610589734,digital,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
The Bell Jar,Sylvia Plath,"",9780571268863,paperback,to-read,2025/02/11,"","",0,"",,,,,,,,,"",,"",No
The Crucible,Arthur Miller,Christopher Bigsby (Contributor),9780142437339,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,to-be-read,Yes
The Pickwick Papers,Charles Dickens,"Hablot Knight Browne (Illustrator), Robert Seymour (Illustrator)",9780192545015,hardcover,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Uncle Tom's Cabin,Harriet Beecher Stowe,"",9780486440286,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Một cuốn sách về chủ nghĩa tối giản,Chi Nguyen,"","",paperback,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,No
Counting Down with You,Tashie Bhuiyan,"",9781335209979,hardcover,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
